ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784048935418,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 5,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2018-01-26,570,B6
9784049120479,電撃コミックスNEXT,デンゲキコミックスネクスト,やがて君になる 6,KADOKAWA,カドカワ,中谷鳰,ナカタニニオ,2018-09-27,600,B6
9784048934701,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 1,KADOKAWA,カドカワ,萩埜まこと,ハギノマコト,2017-12-26,570,B6
9784048937221,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 2,KADOKAWA,カドカワ,萩埜まこと,ハギノマコト,2018-04-27,580,B6
9784049120875,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 3,KADOKAWA,カドカワ,萩埜まこと,ハギノマコト,2018-08-25,580,B6
9784049122978,電撃コミックスNEXT,デンゲキコミックスネクスト,熱帯魚は雪に焦がれる 4,KADOKAWA,カドカワ,萩埜 まこと,ハギノマコト,2019-01-25,580,B6
9784047353190,ビームコミックス,ビームコミックス,繭、纏う 1,KADOKAWA,カドカワ,原百合子,ハラユリコ,2018-09-12,690,B6
9784049121261,None,None,あなたの側にいると私は 社会人百合アンソロジー,KADOKAWA,カドカワ,None,None,2018-10-25,830,B6
9784344833845,BIRZ comics,バーズコミックス,ふたりべや,幻冬舎,ゲントウシャ,雪子,ユキコ,2015-03-24,630,B6
9784344835832,BIRZ comics,バーズコミックス,ふたりべや 2,幻冬舎,ゲントウシャ,雪子,ユキコ,2015-12-24,630,B6
9784344837553,BIRZ comics,バーズコミックス,ふたりべや 3,幻冬舎,ゲントウシャ,雪子,ユキコ,2016-07-23,630,B6
9784344838604,BIRZ comics,バーズコミックス,おねだりしてみて,幻冬舎,ゲントウシャ,雪子,ユキコ,2016-12-24,630,B6
9784344839441,BIRZ comics,バーズコミックス,ふたりべや 4,幻冬舎,ゲントウシャ,雪子,ユキコ,2017-03-24,630,B6
9784344841161,BIRZ comics,バーズコミックス,ふたりべや 5,幻冬舎,ゲントウシャ,雪子,ユキコ,2017-12-21,630,B6
9784063145182,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 1,講談社,コウダンシャ,秋山はる,アキヤマハル,2008-08-22,533,B6
9784063145519,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 2,講談社,コウダンシャ,秋山はる,アキヤマハル,2009-02-23,543,B6
9784063145847,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 3,講談社,コウダンシャ,秋山はる,アキヤマハル,2009-08-21,543,B6
9784063106329,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 4,講談社,コウダンシャ,秋山はる,アキヤマハル,2010-02-23,543,B6
9784063106879,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 5,講談社,コウダンシャ,秋山はる,アキヤマハル,2010-08-23,543,B6
9784063107272,アフタヌーンKC,アフタヌーンケーシー,オクターヴ 6,講談社,コウダンシャ,秋山はる,アキヤマハル,2011-01-21,543,B6
9784063925067,月刊少年マガジンコミックス,ゲッカンショウネンマガジンコミックス,ハルユリ 1,講談社,コウダンシャ,ななつ藤,ナナツフジ,2016-02-17,600,B6
9784063930672,月刊少年マガジンコミックス,ゲッカンショウネンマガジンコミックス,ハルユリ 2,講談社,コウダンシャ,ななつ藤,ナナツフジ,2016-10-17,600,B6
9784063907261,シリウスKC,シリウスケーシー,かみつき学園 1,講談社,コウダンシャ,キダニエル,キダニエル,2017-08-09,600,B6
9784065135433,モーニングKC,モーニングケーシー,わるいおんなのこ 1,講談社,コウダンシャ,佐久間結衣,サクマユイ,2018-10-10,630,B6
9784065139752,モーニングKC,モーニングケーシー,わるいおんなのこ 2,講談社,コウダンシャ,佐久間結衣,サクマユイ,2018-12-12,630,B6
9784065120651,ヤンマガKC,ヤンマガケーシー,少女支配 1,講談社,コウダンシャ,筒井いつき,ツツイイツキ,2018-07-20,602,B6
9784065135525,ヤンマガKC,ヤンマガケーシー,少女支配 2,講談社,コウダンシャ,筒井いつき,ツツイイツキ,2018-11-20,680,B6
9784814800971,None,None,Avalon,GOT,ジーオーティー,None,None,2018-06-25,890,B6
9784814800988,None,None,Avalon ~bitter~,GOT,ジーオーティー,None,None,2018-06-25,890,B6
9784408414805,Ruelle comics,リュエルコミックス,エデンの処女 1,実業之日本社,ジツギョウノニホンシャ,渡邉嘘海,ワタナベウソミ,2017-11-17,680,B6
9784408414980,Ruelle comics,リュエルコミックス,エデンの処女 2,実業之日本社,ジツギョウノニホンシャ,渡邉嘘海,ワタナベウソミ,2018-05-18,680,B6
9784091282248,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 1,小学館,ショウガクカン,古鉢るか,コバチルカ,2018-04-12,600,B6
9784091284044,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 2,小学館,ショウガクカン,古鉢るか,コバチルカ,2018-07-12,600,B6
